[2.046s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2.046s][info][gc,task     ] GC(4) Using 6 workers of 6 for evacuation
[2.065s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[2.065s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[2.065s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 18.6ms
[2.065s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.4ms
[2.065s][info][gc,phases   ] GC(4)   Other: 0.3ms
[2.065s][info][gc,heap     ] GC(4) Eden regions: 209->0(263)
[2.065s][info][gc,heap     ] GC(4) Survivor regions: 16->24(29)
[2.065s][info][gc,heap     ] GC(4) Old regions: 19->25
[2.065s][info][gc,heap     ] GC(4) Archive regions: 0->0
[2.065s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[2.065s][info][gc,metaspace] GC(4) Metaspace: 8431K(8640K)->8431K(8640K) NonClass: 7614K(7744K)->7614K(7744K) Class: 816K(896K)->816K(896K)
[2.065s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 242M->47M(2048M) 19.651ms
[2.065s][info][gc,cpu      ] GC(4) User=0.06s Sys=0.03s Real=0.02s
[2.398s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2.398s][info][gc,task     ] GC(5) Using 6 workers of 6 for evacuation
[2.419s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[2.419s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[2.419s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 20.2ms
[2.419s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.5ms
[2.419s][info][gc,phases   ] GC(5)   Other: 0.2ms
[2.419s][info][gc,heap     ] GC(5) Eden regions: 263->0(296)
[2.419s][info][gc,heap     ] GC(5) Survivor regions: 24->33(36)
[2.419s][info][gc,heap     ] GC(5) Old regions: 25->34
[2.419s][info][gc,heap     ] GC(5) Archive regions: 0->0
[2.419s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2.419s][info][gc,metaspace] GC(5) Metaspace: 8437K(8640K)->8437K(8640K) NonClass: 7621K(7744K)->7621K(7744K) Class: 816K(896K)->816K(896K)
[2.419s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 310M->65M(2048M) 21.375ms
[2.419s][info][gc,cpu      ] GC(5) User=0.17s Sys=0.02s Real=0.02s
[2.683s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2.683s][info][gc,task     ] GC(6) Using 6 workers of 6 for evacuation
[2.708s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[2.708s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[2.708s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 24.6ms
[2.708s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.5ms
[2.709s][info][gc,phases   ] GC(6)   Other: 0.2ms
[2.709s][info][gc,heap     ] GC(6) Eden regions: 296->0(334)
[2.709s][info][gc,heap     ] GC(6) Survivor regions: 33->39(42)
[2.709s][info][gc,heap     ] GC(6) Old regions: 34->48
[2.709s][info][gc,heap     ] GC(6) Archive regions: 0->0
[2.709s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[2.709s][info][gc,metaspace] GC(6) Metaspace: 8450K(8640K)->8450K(8640K) NonClass: 7634K(7744K)->7634K(7744K) Class: 816K(896K)->816K(896K)
[2.709s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 361M->85M(2048M) 25.765ms
[2.709s][info][gc,cpu      ] GC(6) User=0.09s Sys=0.00s Real=0.03s
[2.997s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2.997s][info][gc,task     ] GC(7) Using 6 workers of 6 for evacuation
[3.029s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[3.029s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[3.029s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 31.6ms
[3.029s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.5ms
[3.029s][info][gc,phases   ] GC(7)   Other: 0.3ms
[3.029s][info][gc,heap     ] GC(7) Eden regions: 334->0(557)
[3.029s][info][gc,heap     ] GC(7) Survivor regions: 39->44(47)
[3.029s][info][gc,heap     ] GC(7) Old regions: 48->66
[3.029s][info][gc,heap     ] GC(7) Archive regions: 0->0
[3.029s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[3.029s][info][gc,metaspace] GC(7) Metaspace: 8496K(8640K)->8496K(8640K) NonClass: 7680K(7744K)->7680K(7744K) Class: 816K(896K)->816K(896K)
[3.029s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 419M->109M(2048M) 32.746ms
[3.029s][info][gc,cpu      ] GC(7) User=0.19s Sys=0.00s Real=0.03s
[3.512s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[3.512s][info][gc,task     ] GC(8) Using 6 workers of 6 for evacuation
[3.556s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[3.556s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[3.556s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 42.7ms
[3.556s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.6ms
[3.556s][info][gc,phases   ] GC(8)   Other: 0.3ms
[3.556s][info][gc,heap     ] GC(8) Eden regions: 557->0(542)
[3.556s][info][gc,heap     ] GC(8) Survivor regions: 44->60(76)
[3.556s][info][gc,heap     ] GC(8) Old regions: 66->86
[3.556s][info][gc,heap     ] GC(8) Archive regions: 0->0
[3.556s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[3.556s][info][gc,metaspace] GC(8) Metaspace: 8514K(8768K)->8514K(8768K) NonClass: 7698K(7872K)->7698K(7872K) Class: 816K(896K)->816K(896K)
[3.556s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 666M->145M(2048M) 43.942ms
[3.556s][info][gc,cpu      ] GC(8) User=0.19s Sys=0.00s Real=0.05s
[3.991s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[3.991s][info][gc,task     ] GC(9) Using 6 workers of 6 for evacuation
[4.038s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[4.038s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[4.038s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 45.6ms
[4.038s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.5ms
[4.038s][info][gc,phases   ] GC(9)   Other: 0.2ms
[4.038s][info][gc,heap     ] GC(9) Eden regions: 542->0(868)
[4.038s][info][gc,heap     ] GC(9) Survivor regions: 60->71(76)
[4.038s][info][gc,heap     ] GC(9) Old regions: 86->109
[4.038s][info][gc,heap     ] GC(9) Archive regions: 0->0
[4.038s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[4.038s][info][gc,metaspace] GC(9) Metaspace: 8523K(8768K)->8523K(8768K) NonClass: 7707K(7872K)->7707K(7872K) Class: 816K(896K)->816K(896K)
[4.038s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 687M->179M(2048M) 46.790ms
[4.038s][info][gc,cpu      ] GC(9) User=0.28s Sys=0.00s Real=0.05s
[4.961s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[4.962s][info][gc,task     ] GC(10) Using 6 workers of 6 for evacuation
[5.025s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[5.025s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.2ms
[5.025s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 62.1ms
[5.025s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.6ms
[5.025s][info][gc,phases   ] GC(10)   Other: 0.4ms
[5.025s][info][gc,heap     ] GC(10) Eden regions: 868->0(730)
[5.025s][info][gc,heap     ] GC(10) Survivor regions: 71->82(118)
[5.025s][info][gc,heap     ] GC(10) Old regions: 109->145
[5.025s][info][gc,heap     ] GC(10) Archive regions: 0->0
[5.025s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[5.025s][info][gc,metaspace] GC(10) Metaspace: 8580K(8832K)->8580K(8832K) NonClass: 7764K(7936K)->7764K(7936K) Class: 816K(896K)->816K(896K)
[5.025s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1047M->227M(2048M) 63.517ms
[5.025s][info][gc,cpu      ] GC(10) User=0.31s Sys=0.05s Real=0.07s
[5.607s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[5.607s][info][gc,task     ] GC(11) Using 6 workers of 6 for evacuation
[5.643s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.4ms
[5.643s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.2ms
