JDK,Suite,GC,Test,Heap,Debit (%),Timp pauza (s),Timp total (s),Max Pause (s)
8,SPECjvm2008,CMS,mpegaudio,4G,99.73,3.34,1227,0.02541
8,SPECjvm2008,CMS,mpegaudio,8G,99.53,5.83,1228,0.04582
8,SPECjvm2008,CMS,scimark-fft-large,1G,99.79,2.63,1266,0.04126
8,SPECjvm2008,CMS,scimark-fft-large,2G,99.83,2.15,1265,0.06529
8,SPECjvm2008,CMS,scimark-fft-large,4G,99.85,1.89,1266,0.05263
8,SPECjvm2008,CMS,scimark-fft-large,8G,99.68,4.06,1265,0.11629
8,SPECjvm2008,CMS,scimark-fft-small,1G,99.86,1.75,1224,0.01586
8,SPECjvm2008,CMS,scimark-fft-small,2G,99.87,1.57,1225,0.0172
8,SPECjvm2008,CMS,scimark-fft-small,4G,99.71,3.58,1224,0.02779
8,SPECjvm2008,CMS,scimark-fft-small,8G,99.38,7.62,1224,0.04028
8,SPECjvm2008,CMS,scimark-lu-large,1G,20.04,1196.54,1496,14.85009
8,SPECjvm2008,CMS,scimark-lu-large,2G,70.93,412.89,1420,14.61258
8,SPECjvm2008,CMS,scimark-lu-large,4G,83.64,232.38,1420,14.60043
8,SPECjvm2008,CMS,scimark-lu-large,8G,84.09,227.42,1429,13.94151
8,SPECjvm2008,CMS,scimark-lu-small,1G,91.97,98.53,1227,0.1015
8,SPECjvm2008,CMS,scimark-lu-small,2G,94.72,64.87,1228,0.10557
8,SPECjvm2008,CMS,scimark-lu-small,4G,93.73,77.09,1228,0.10607
8,SPECjvm2008,CMS,scimark-lu-small,8G,90.95,111.08,1227,0.10295
8,SPECjvm2008,CMS,scimark-montecarlo,1G,99.83,2.03,1223,0.06329
8,SPECjvm2008,CMS,scimark-montecarlo,2G,99.87,1.57,1223,0.0593
8,SPECjvm2008,CMS,scimark-montecarlo,4G,99.83,2.1,1223,0.05956
8,SPECjvm2008,CMS,scimark-montecarlo,8G,99.82,2.15,1223,0.06352
8,SPECjvm2008,CMS,scimark-sor-large,1G,91.5,108.28,1274,5.97045
8,SPECjvm2008,CMS,scimark-sor-large,2G,95.52,57.11,1275,5.70375
8,SPECjvm2008,CMS,scimark-sor-large,4G,92.7,92.6,1268,5.73335
8,SPECjvm2008,CMS,scimark-sor-large,8G,91.73,105.54,1276,5.81339
8,SPECjvm2008,CMS,scimark-sor-small,1G,99.81,2.33,1227,0.07875
8,SPECjvm2008,CMS,scimark-sor-small,2G,99.8,2.41,1226,0.07886
8,SPECjvm2008,CMS,scimark-sor-small,4G,99.79,2.62,1227,0.07905
8,SPECjvm2008,CMS,scimark-sor-small,8G,99.79,2.62,1228,0.0788
8,SPECjvm2008,CMS,scimark-sparse-large,1G,69.43,387.03,1266,5.7217
8,SPECjvm2008,CMS,scimark-sparse-large,2G,71.13,368.9,1277,5.62518
8,SPECjvm2008,CMS,scimark-sparse-large,4G,69.69,386.67,1275,4.8715
8,SPECjvm2008,CMS,scimark-sparse-large,8G,72.17,355.46,1277,4.88747
8,SPECjvm2008,CMS,scimark-sparse-small,1G,97.83,26.52,1223,0.05006
8,SPECjvm2008,CMS,scimark-sparse-small,2G,98.51,18.26,1223,0.05198
8,SPECjvm2008,CMS,scimark-sparse-small,4G,98.36,20.06,1223,0.05469
8,SPECjvm2008,CMS,scimark-sparse-small,8G,97.96,25.02,1223,0.05181
8,SPECjvm2008,CMS,serial,1G,96.03,48.69,1227,0.04492
8,SPECjvm2008,CMS,serial,2G,96.86,38.53,1226,0.03743
8,SPECjvm2008,CMS,serial,4G,95.95,49.7,1227,0.09464
8,SPECjvm2008,CMS,serial,8G,87.27,156.49,1229,0.65582
8,SPECjvm2008,CMS,sunflow,1G,97.74,27.63,1224,0.04031
8,SPECjvm2008,CMS,sunflow,2G,98.01,24.43,1224,0.01833
8,SPECjvm2008,CMS,sunflow,4G,97.39,32,1225,0.02578
8,SPECjvm2008,CMS,sunflow,8G,95.78,51.71,1224,0.04078
8,SPECjvm2008,CMS,xml-transform,1G,92.99,87.21,1244,0.05435
8,SPECjvm2008,CMS,xml-transform,2G,97.78,27.68,1246,0.0659
8,SPECjvm2008,CMS,xml-transform,4G,95.78,52.54,1245,0.0434
8,SPECjvm2008,CMS,xml-transform,8G,92.19,97.31,1245,0.04061
8,SPECjvm2008,CMS,xml-validation,1G,82.71,211.97,1225,0.07685
8,SPECjvm2008,CMS,xml-validation,2G,86.51,165.17,1224,0.0539
8,SPECjvm2008,CMS,xml-validation,4G,86.92,160.38,1225,0.05394
8,SPECjvm2008,CMS,xml-validation,8G,84.57,189.17,1225,0.09609
8,SPECjvm2008,G1,compress,1G,99.96,0.48,1225,0.02504
8,SPECjvm2008,G1,compress,2G,99.98,0.31,1234,0.02142
8,SPECjvm2008,G1,compress,4G,99.99,0.18,1234,0.03496
8,SPECjvm2008,G1,compress,8G,99.99,0.18,1239,0.0669
8,SPECjvm2008,G1,crypto-aes,1G,97,37.06,1235,0.19822
8,SPECjvm2008,G1,crypto-aes,2G,97.87,26.28,1235,0.03323
8,SPECjvm2008,G1,crypto-aes,4G,99.85,1.8,1235,0.03514
8,SPECjvm2008,G1,crypto-aes,8G,99.92,0.95,1234,0.07035
8,SPECjvm2008,G1,crypto-rsa,1G,99.88,1.42,1226,0.01597
8,SPECjvm2008,G1,crypto-rsa,2G,99.92,1.01,1226,0.0215
8,SPECjvm2008,G1,crypto-rsa,4G,99.94,0.67,1226,0.03271
8,SPECjvm2008,G1,crypto-rsa,8G,99.96,0.47,1225,0.06293
8,SPECjvm2008,G1,crypto-signverify,1G,96.63,41.29,1223,0.02601
8,SPECjvm2008,G1,crypto-signverify,2G,97.92,25.49,1223,0.03151
8,SPECjvm2008,G1,crypto-signverify,4G,97.52,30.28,1223,0.04004
8,SPECjvm2008,G1,crypto-signverify,8G,99.92,1.03,1224,0.07744
8,SPECjvm2008,G1,derby,1G,96.82,39.31,1235,0.08141
8,SPECjvm2008,G1,derby,2G,97.99,24.87,1235,0.14326
8,SPECjvm2008,G1,derby,4G,98.71,16,1235,0.11311
8,SPECjvm2008,G1,derby,8G,98.95,12.96,1235,0.06407
8,SPECjvm2008,G1,mpegaudio,1G,99.91,1.16,1227,0.01699
8,SPECjvm2008,G1,mpegaudio,2G,99.91,1.09,1227,0.02267
8,SPECjvm2008,G1,mpegaudio,4G,99.96,0.51,1227,0.03328
8,SPECjvm2008,G1,mpegaudio,8G,99.97,0.41,1227,0.06256
8,SPECjvm2008,G1,scimark-fft-large,1G,99.87,1.63,1279,0.02651
8,SPECjvm2008,G1,scimark-fft-large,2G,99.94,0.73,1277,0.02225
8,SPECjvm2008,G1,scimark-fft-large,4G,99.96,0.48,1271,0.03412
8,SPECjvm2008,G1,scimark-fft-large,8G,99.97,0.43,1266,0.07011
8,SPECjvm2008,G1,scimark-fft-small,1G,98.13,22.86,1224,0.09206
8,SPECjvm2008,G1,scimark-fft-small,2G,99,12.32,1226,0.0709
8,SPECjvm2008,G1,scimark-fft-small,4G,99.94,0.7,1223,0.03229
8,SPECjvm2008,G1,scimark-fft-small,8G,99.96,0.49,1225,0.06347
8,SPECjvm2008,G1,scimark-lu-large,1G,35.82,954.32,1486,15.23339
8,SPECjvm2008,G1,scimark-lu-large,2G,72.5,403.01,1465,14.84969
8,SPECjvm2008,G1,scimark-lu-large,4G,83.52,232.91,1413,14.71162
8,SPECjvm2008,G1,scimark-lu-large,8G,84.59,228.06,1479,13.81838
8,SPECjvm2008,G1,scimark-lu-small,1G,97.29,33.25,1226,0.01833
8,SPECjvm2008,G1,scimark-lu-small,2G,98.46,18.94,1226,0.02161
8,SPECjvm2008,G1,scimark-lu-small,4G,99.34,8.1,1226,0.0328
8,SPECjvm2008,G1,scimark-lu-small,8G,99.65,4.31,1224,0.06529
8,SPECjvm2008,G1,scimark-montecarlo,1G,99.85,1.89,1223,0.05636
8,SPECjvm2008,G1,scimark-montecarlo,2G,99.85,1.89,1223,0.06231
8,SPECjvm2008,G1,scimark-montecarlo,4G,99.83,2.09,1223,0.07874
8,SPECjvm2008,G1,scimark-montecarlo,8G,99.82,2.15,1223,0.0689
8,SPECjvm2008,G1,scimark-sor-large,1G,92.47,95.76,1271,5.5972
8,SPECjvm2008,G1,scimark-sor-large,2G,90.67,118.05,1264,5.47283
8,SPECjvm2008,G1,scimark-sor-large,4G,92.39,96.96,1274,5.83122
8,SPECjvm2008,G1,scimark-sor-large,8G,92.39,97.07,1275,5.89454
8,SPECjvm2008,G1,scimark-sor-small,1G,99.76,2.99,1227,0.07843
8,SPECjvm2008,G1,scimark-sor-small,2G,99.78,2.67,1227,0.07808
8,SPECjvm2008,G1,scimark-sor-small,4G,99.76,2.92,1227,0.07825
8,SPECjvm2008,G1,scimark-sor-small,8G,99.8,2.41,1227,0.0805
8,SPECjvm2008,G1,scimark-sparse-large,1G,70.81,369.53,1266,5.72127
8,SPECjvm2008,G1,scimark-sparse-large,2G,79.2,266.62,1282,5.73696
8,SPECjvm2008,G1,scimark-sparse-large,4G,87.89,152.38,1258,5.71805
8,SPECjvm2008,G1,scimark-sparse-large,8G,91,113.71,1263,5.75338
8,SPECjvm2008,G1,scimark-sparse-small,1G,98.65,16.58,1224,0.07226
8,SPECjvm2008,G1,scimark-sparse-small,2G,99.21,9.63,1223,0.05103
8,SPECjvm2008,G1,scimark-sparse-small,4G,99.58,5.09,1223,0.05106
8,SPECjvm2008,G1,scimark-sparse-small,8G,99.73,3.31,1223,0.0651
8,SPECjvm2008,G1,serial,1G,99.12,10.8,1227,0.01618
8,SPECjvm2008,G1,serial,2G,99.38,7.6,1227,0.02122
8,SPECjvm2008,G1,serial,4G,99.66,4.18,1226,0.03376
8,SPECjvm2008,G1,serial,8G,99.77,2.79,1225,0.06953
8,SPECjvm2008,G1,sunflow,1G,98.81,14.59,1224,0.0175
8,SPECjvm2008,G1,sunflow,2G,99.25,9.15,1225,0.02124
8,SPECjvm2008,G1,sunflow,4G,99.6,4.9,1223,0.03504
8,SPECjvm2008,G1,sunflow,8G,99.76,2.93,1224,0.06983
8,SPECjvm2008,G1,xml-transform,1G,98.45,19.29,1244,0.0172
8,SPECjvm2008,G1,xml-transform,2G,99.06,11.64,1244,0.02134
8,SPECjvm2008,G1,xml-transform,4G,99.5,6.24,1244,0.03493
8,SPECjvm2008,G1,xml-transform,8G,99.71,3.64,1245,0.06989
8,SPECjvm2008,G1,xml-validation,1G,91.71,101.84,1228,0.02735
8,SPECjvm2008,G1,xml-validation,2G,96.26,45.98,1229,0.04696
8,SPECjvm2008,G1,xml-validation,4G,98.2,22.17,1229,0.03513
8,SPECjvm2008,G1,xml-validation,8G,99.07,11.46,1228,0.0702
