[0.012s][info][gc,heap] Heap region size: 4M
[3.670s][info][gc,heap      ] GC(5) Eden regions: 90->0(89)
[3.670s][info][gc,heap      ] GC(5) Survivor regions: 12->13(13)
[3.670s][info][gc,heap      ] GC(5) Old regions: 21->28
[3.670s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[3.670s][info][gc,metaspace ] GC(5) Metaspace: 16294K(16768K)->16294K(16768K) NonClass: 14803K(15104K)->14803K(15104K) Class: 1491K(1664K)->1491K(1664K)
[3.670s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 489M->158M(8192M) 32.838ms
[3.670s][info][gc,cpu       ] GC(5) User=0.19s Sys=0.00s Real=0.03s
[3.953s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[3.953s][info][gc,task      ] GC(6) Using 6 workers of 6 for evacuation
[3.985s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[3.985s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 31.0ms
[3.985s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.6ms
[3.985s][info][gc,phases    ] GC(6)   Other: 0.3ms
[3.985s][info][gc,heap      ] GC(6) Eden regions: 89->0(98)
[3.985s][info][gc,heap      ] GC(6) Survivor regions: 13->12(13)
[3.985s][info][gc,heap      ] GC(6) Old regions: 28->33
[3.985s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[3.985s][info][gc,metaspace ] GC(6) Metaspace: 16318K(16768K)->16318K(16768K) NonClass: 14826K(15104K)->14826K(15104K) Class: 1491K(1664K)->1491K(1664K)
[3.985s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 514M->178M(8192M) 32.059ms
[3.985s][info][gc,cpu       ] GC(6) User=0.19s Sys=0.00s Real=0.03s
[4.302s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[4.302s][info][gc,task      ] GC(7) Using 6 workers of 6 for evacuation
[4.342s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.1ms
[4.342s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 39.4ms
[4.342s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.5ms
[4.342s][info][gc,phases    ] GC(7)   Other: 0.3ms
[4.342s][info][gc,heap      ] GC(7) Eden regions: 98->0(116)
[4.342s][info][gc,heap      ] GC(7) Survivor regions: 12->13(14)
[4.342s][info][gc,heap      ] GC(7) Old regions: 33->40
[4.342s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[4.342s][info][gc,metaspace ] GC(7) Metaspace: 16318K(16768K)->16318K(16768K) NonClass: 14826K(15104K)->14826K(15104K) Class: 1491K(1664K)->1491K(1664K)
[4.342s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 570M->206M(8192M) 40.297ms
[4.342s][info][gc,cpu       ] GC(7) User=0.28s Sys=0.00s Real=0.04s
[4.887s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[4.887s][info][gc,task      ] GC(8) Using 6 workers of 6 for evacuation
[4.938s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[4.938s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 49.4ms
[4.938s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.6ms
[4.938s][info][gc,phases    ] GC(8)   Other: 0.3ms
[4.938s][info][gc,heap      ] GC(8) Eden regions: 116->0(242)
[4.938s][info][gc,heap      ] GC(8) Survivor regions: 13->14(17)
[4.938s][info][gc,heap      ] GC(8) Old regions: 40->45
